asset_id,work_id,title,creation_year,publication_year,local_path,asset_role,source,sha256,canonical_status,lineage_confidence,p1_section,claim_id,display_role,caption_status,limitation,P1_SAFE
BOOK:raw/books/1992_coeur_couronne_t1/pages/c1_03.jpg,W-LCC-VOL1-92,Le Cœur couronné Vol.1 (1992),1992,1992,raw/books/1992_coeur_couronne_t1/pages/c1_03.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_STANDALONE,e149130a97ecf896,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,Brazilian translation in omnibus; standalone is French original (per identity gate),YES
BOOK:raw/books/1992_coeur_couronne_t1/pages/c1_04.jpg,W-LCC-VOL1-92,Le Cœur couronné Vol.1 (1992),1992,1992,raw/books/1992_coeur_couronne_t1/pages/c1_04.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_STANDALONE,c721d05510f76a14,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,Brazilian translation in omnibus; standalone is French original (per identity gate),YES
BOOK:raw/books/1992_coeur_couronne_t1/pages/c1_05.jpg,W-LCC-VOL1-92,Le Cœur couronné Vol.1 (1992),1992,1992,raw/books/1992_coeur_couronne_t1/pages/c1_05.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_STANDALONE,290333bc79d47f6b,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,Brazilian translation in omnibus; standalone is French original (per identity gate),YES
BOOK:raw/books/1992_coeur_couronne_t1/pages/c1_06.jpg,W-LCC-VOL1-92,Le Cœur couronné Vol.1 (1992),1992,1992,raw/books/1992_coeur_couronne_t1/pages/c1_06.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_STANDALONE,4eae0f6bc3ced236,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,Brazilian translation in omnibus; standalone is French original (per identity gate),YES
BOOK:raw/books/1992_coeur_couronne_t1/pages/c1_07.jpg,W-LCC-VOL1-92,Le Cœur couronné Vol.1 (1992),1992,1992,raw/books/1992_coeur_couronne_t1/pages/c1_07.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_STANDALONE,60c41a7fe63201bf,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,Brazilian translation in omnibus; standalone is French original (per identity gate),YES
BOOK:raw/books/1992_coeur_couronne_t1/pages/c1_08.jpg,W-LCC-VOL1-92,Le Cœur couronné Vol.1 (1992),1992,1992,raw/books/1992_coeur_couronne_t1/pages/c1_08.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_STANDALONE,df5d267a8d4b6e0e,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,Brazilian translation in omnibus; standalone is French original (per identity gate),YES
BOOK:raw/books/madwoman_collected/pages/mw_082.jpg,W-LCC-VOL2-93,Le Cœur couronné Vol.2 (1993),1993,1993,raw/books/madwoman_collected/pages/mw_082.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_BRAZILIAN_OMNIBUS,d5e81ac18bc9edac,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,EDITION_CAVEAT: Brazilian translation; pagination offset +0 verified,YES
BOOK:raw/books/madwoman_collected/pages/mw_083.jpg,W-LCC-VOL2-93,Le Cœur couronné Vol.2 (1993),1993,1993,raw/books/madwoman_collected/pages/mw_083.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_BRAZILIAN_OMNIBUS,e85e6a99fccaa4ea,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,EDITION_CAVEAT: Brazilian translation; pagination offset +0 verified,YES
BOOK:raw/books/madwoman_collected/pages/mw_084.jpg,W-LCC-VOL2-93,Le Cœur couronné Vol.2 (1993),1993,1993,raw/books/madwoman_collected/pages/mw_084.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_BRAZILIAN_OMNIBUS,0863e2a6a6eb204f,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,EDITION_CAVEAT: Brazilian translation; pagination offset +0 verified,YES
BOOK:raw/books/madwoman_collected/pages/mw_085.jpg,W-LCC-VOL2-93,Le Cœur couronné Vol.2 (1993),1993,1993,raw/books/madwoman_collected/pages/mw_085.jpg,INDIVIDUAL_PLATE_FRONT,LOCAL_SCAN_BRAZILIAN_OMNIBUS,286bbdad1238b627,YES,HIGH,SECTION_08_COEUR,claim: BODY_AS_NARRATIVE_RESOURCE,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED,EDITION_CAVEAT: Brazilian translation; pagination offset +0 verified,YES
